forecastType,stationHWID,forecastDate,hour,ps_prev,rh_prev,tp_prev,tc_prev,rd_prev,ws_prev,pc_prev,pc_obs
BRB2,A12,2019-05-30 03:00:00,2019-05-31 04:00:00,1008.5,75.1,26.7,0.82,0,2.68,0,4.84
BRB2,A12,2019-05-30 03:00:00,2019-05-31 05:00:00,1008,76,26.61,0.77,0,2.68,0,1.27
BRB2,A12,2019-05-30 03:00:00,2019-05-31 06:00:00,1007.8,78.7,26.24,0.89,0,2.04,0.1,0.26
BRB2,A12,2019-05-30 03:00:00,2019-05-31 07:00:00,1007.7,76,26.44,0.99,0,2.16,0.1,0.26
BRB2,A12,2019-05-30 03:00:00,2019-05-31 21:00:00,1007.3,74.8,27.57,0.84,0,3.83,0,0.51
BRB2,A12,2019-05-30 03:00:00,2019-05-31 22:00:00,1008.5,75.5,27.44,0.9,0,3.6,0,0.26
BRB2,A12,2019-05-30 03:00:00,2019-06-01 07:00:00,1007.9,84.9,25.04,0.99,0,1.48,0.5,0.26
BRB2,A12,2019-05-30 03:00:00,2019-06-01 11:00:00,1009.2,70.9,27.47,0.86,497.8,2.65,0,1.02
BRB2,A12,2019-05-30 03:00:00,2019-06-01 12:00:00,1009.3,66.1,28.22,0.9,683.7,3.31,0,0.77
BRB2,A12,2019-05-30 03:00:00,2019-06-03 06:00:00,1008.7,74.4,26.01,0.98,0,1.77,0,2.55
BRB2,A12,2019-05-30 03:00:00,2019-06-03 07:00:00,1008.6,74.3,26,0.74,0,1.15,0.1,0.26
BRB2,A12,2019-05-30 03:00:00,2019-06-03 12:00:00,1011.5,69.5,27.55,0.92,673.1,2.1,0.1,1.02
BRB2,A12,2019-05-30 03:00:00,2019-06-04 02:00:00,1012.6,79.8,26.68,0.88,0,4.09,0,1.02
BRB2,A12,2019-05-31 03:00:00,2019-05-31 04:00:00,1008,70.1,27.3,1,0,3.63,0.1,4.84
BRB2,A12,2019-05-31 03:00:00,2019-05-31 05:00:00,1008.2,73.5,26.74,0.94,0,1.95,0.2,1.27
BRB2,A12,2019-05-31 03:00:00,2019-05-31 06:00:00,1009,77,26.07,0.98,0,1.06,0.1,0.26
BRB2,A12,2019-05-31 03:00:00,2019-05-31 07:00:00,1008.7,80.1,25.35,1,0,1.66,0.1,0.26
BRB2,A12,2019-05-31 03:00:00,2019-05-31 21:00:00,1007.7,77.7,27.22,0.99,0,3.66,0,0.51
BRB2,A12,2019-05-31 03:00:00,2019-05-31 22:00:00,1008.1,76.9,27.14,0.95,0,3.66,0,0.26
BRB2,A12,2019-05-31 03:00:00,2019-06-01 07:00:00,1007.9,85.9,25.12,0.98,0,1.8,0.1,0.26
BRB2,A12,2019-05-31 03:00:00,2019-06-01 11:00:00,1009.4,72.8,27.24,1,451.5,2.71,0,1.02
BRB2,A12,2019-05-31 03:00:00,2019-06-01 12:00:00,1009.8,63,28.4,0.67,681.6,4.46,0,0.77
BRB2,A12,2019-05-31 03:00:00,2019-06-03 06:00:00,1008.8,80.6,25.28,0.88,0,1.24,0.2,2.55
BRB2,A12,2019-05-31 03:00:00,2019-06-03 07:00:00,1008.6,87,23.83,0.9,0,1.94,0.1,0.26
BRB2,A12,2019-05-31 03:00:00,2019-06-03 12:00:00,1011.7,76.5,26.46,0.94,616.8,0.86,0.2,1.02
BRB2,A12,2019-05-31 03:00:00,2019-06-04 02:00:00,1011,75.8,26.84,0.88,0,4.32,0.1,1.02
